%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570512692979889954,6489,1570512692905443000,/map,-18040.3242188,-93624.203125,39.3065948486,-0.0155921899041,-0.00430756061956,-0.280844707344,0.959616891729
1570512693060966032,6490,1570512693005592000,/map,-18039.96875,-93624.359375,39.3228912354,-0.0133646045695,-0.00509114794224,-0.284944433586,0.958437341367
1570512693169796057,6491,1570512693105844000,/map,-18039.5957031,-93624.578125,39.3346328735,-0.0122994079695,-0.00567699233875,-0.289249056378,0.957158022328
1570512693271184179,6492,1570512693206097000,/map,-18039.3066406,-93624.8125,39.3263435364,-0.0140611160233,-0.00564012028609,-0.292461857893,0.956157171043
1570512693369121502,6493,1570512693307138000,/map,-18039.0078125,-93625.0546875,39.3212203979,-0.0148417679612,-0.00530389481628,-0.295584548094,0.9551865606
1570512693469852776,6494,1570512693406582000,/map,-18038.6914062,-93625.28125,39.3344726562,-0.0140183096162,-0.00543834285698,-0.298146719369,0.954401616277
1570512693568339872,6495,1570512693506725000,/map,-18038.3925781,-93625.46875,39.3442001343,-0.0139637194243,-0.0056724346294,-0.300589947901,0.953634375034
1570512693677649220,6496,1570512693606898000,/map,-18038.1230469,-93625.6796875,39.3207931519,-0.0143755687699,-0.00663654265799,-0.302785076318,0.952927330327
1570512693757763356,6497,1570512693708957000,/map,-18037.8496094,-93625.8984375,39.3415718079,-0.0152413280485,-0.00715665145724,-0.304802920341,0.95226659293
1570512693876385879,6498,1570512693808365000,/map,-18037.546875,-93626.09375,39.3533096313,-0.0151988817648,-0.00729916623069,-0.306902198655,0.951591696384
1570512693972251150,6499,1570512693907722000,/map,-18037.2304688,-93626.296875,39.3720359802,-0.0138870049709,-0.00740320614885,-0.309231148618,0.950856687601
1570512694074632207,6500,1570512694007863000,/map,-18036.9433594,-93626.5,39.3872680664,-0.0135433575806,-0.0077249487872,-0.311197407426,0.950217383677
1570512694167347141,6501,1570512694112496000,/map,-18036.6464844,-93626.7109375,39.3982887268,-0.0130462838909,-0.00804329596902,-0.312827678946,0.949686234054
1570512694273950826,6502,1570512694208362000,/map,-18036.3828125,-93626.9140625,39.4181251526,-0.0115890328187,-0.00854594289572,-0.314256585887,0.949228876196
1570512694368466105,6503,1570512694308506000,/map,-18036.1171875,-93627.1328125,39.4209785461,-0.0107499935687,-0.00873377138493,-0.31507984526,0.948964093097
1570512694464399867,6504,1570512694408753000,/map,-18035.8691406,-93627.3515625,39.4098625183,-0.0110154431732,-0.00852935488243,-0.315208577525,0.948920156163
1570512694579023614,6505,1570512694509002000,/map,-18035.5859375,-93627.53125,39.4291229248,-0.00956980176881,-0.00938435583146,-0.314358928642,0.949209574721
1570512694697139554,6506,1570512694609154000,/map,-18035.2402344,-93627.75,39.4421615601,-0.00802852809315,-0.0107725756432,-0.312862296781,0.949703468249
1570512694780014144,6507,1570512694709500000,/map,-18034.921875,-93628.0078125,39.4446678162,-0.00836527243882,-0.0120097792062,-0.310877761837,0.950337205741
1570512694898549476,6508,1570512694814439000,/map,-18034.6152344,-93628.2421875,39.4625778198,-0.00912656533233,-0.0123998744439,-0.308827178024,0.950993545211
1570512694978997350,6509,1570512694909790000,/map,-18034.3242188,-93628.453125,39.4793281555,-0.00927407857649,-0.011930200355,-0.306856700103,0.951635764034
1570512695072603505,6510,1570512695010144000,/map,-18034.015625,-93628.6796875,39.4850387573,-0.00963471882413,-0.0115348509142,-0.304490351765,0.95239684223
1570512695187816638,6511,1570512695110282000,/map,-18033.6679688,-93628.8828125,39.4863243103,-0.00866040295981,-0.0117165847207,-0.302613206071,0.953002081097
1570512695282912009,6512,1570512695210534000,/map,-18033.3535156,-93629.1328125,39.4916687012,-0.00800507184148,-0.0122645243813,-0.299983002004,0.953832112468
1570512695370193951,6513,1570512695310902000,/map,-18033.0292969,-93629.3828125,39.4949569702,-0.00704434693126,-0.0134092193699,-0.296919453483,0.954782387854
1570512695470966399,6514,1570512695410922000,/map,-18032.6777344,-93629.6171875,39.5116539001,-0.00654160528497,-0.014443898759,-0.293055248836,0.955964017272
1570512695596168994,6515,1570512695511272000,/map,-18032.2851562,-93629.8984375,39.5200004578,-0.00884978458769,-0.015112220555,-0.288893123665,0.957201162349
1570512695677376336,6516,1570512695619830000,/map,-18031.8457031,-93630.203125,39.5187950134,-0.00990261648771,-0.0155525593509,-0.285451365078,0.958215828642
1570512695766457122,6517,1570512695711668000,/map,-18031.4707031,-93630.4296875,39.5225830078,-0.0105727978697,-0.0166719133488,-0.282042285129,0.959198838954
1570512695880519929,6518,1570512695816163000,/map,-18031.0644531,-93630.65625,39.5542602539,-0.0108121182814,-0.0171127395725,-0.278834626932,0.960125774608
1570512695989580507,6519,1570512695912063000,/map,-18030.6757812,-93630.90625,39.5548629761,-0.0136515187568,-0.0165061506228,-0.27614781408,0.960876458139
1570512696099748046,6520,1570512696012413000,/map,-18030.1816406,-93631.1875,39.5789413452,-0.0153924970297,-0.0168679141317,-0.273914309523,0.961482966852
1570512696211768835,6521,1570512696124373000,/map,-18029.6796875,-93631.4765625,39.6119842529,-0.0152857859133,-0.0170832446925,-0.272507368236,0.961880575621
1570512696291228856,6522,1570512696212702000,/map,-18029.2304688,-93631.765625,39.6306762695,-0.0134023304743,-0.0163498239247,-0.271170037517,0.962299262989
1570512696374491228,6523,1570512696313053000,/map,-18028.7246094,-93632.0546875,39.6329727173,-0.00939350441984,-0.015470465304,-0.270026984862,0.962682634218
1570512696498508474,6524,1570512696413195000,/map,-18028.1601562,-93632.3125,39.6711082458,-0.00195482670701,-0.014631982853,-0.270260641784,0.962674020234
1570512696585579523,6525,1570512696513443000,/map,-18027.6816406,-93632.625,39.6489295959,-0.00262511316106,-0.0126641630482,-0.270156401577,0.962729581161
1570512696676814111,6526,1570512696613695000,/map,-18027.2050781,-93632.9296875,39.6608314514,-0.00395271862386,-0.0115095072821,-0.269051395652,0.963048936324
1570512696783582988,6527,1570512696713840000,/map,-18026.6582031,-93633.2109375,39.7093238831,-0.00269750157287,-0.0123255283092,-0.267999188706,0.963336514251
1570512696876855225,6528,1570512696814188000,/map,-18026.1035156,-93633.53125,39.7274932861,-0.00199109082252,-0.01380607045,-0.266672771908,0.963686183723
1570512696985431328,6529,1570512696914337000,/map,-18025.5507812,-93633.8671875,39.740562439,-0.00115171485629,-0.0151582743003,-0.26533698693,0.964035882963
1570512697079108757,6530,1570512697014585000,/map,-18025.0078125,-93634.1875,39.7312469482,-0.00116989265565,-0.0154665550773,-0.264280559213,0.964321109925
1570512697167125529,6531,1570512697116046000,/map,-18024.4726562,-93634.515625,39.7357406616,-0.00309492700366,-0.0144771495333,-0.263711685557,0.964487936922
1570512697283512293,6532,1570512697214973000,/map,-18023.9492188,-93634.84375,39.7570228577,-0.00613950361647,-0.0130610122654,-0.263498317914,0.964551892285
1570512697381965073,6533,1570512697315228000,/map,-18023.4179688,-93635.140625,39.776473999,-0.00687222414306,-0.0120350842928,-0.263675098994,0.964511986163
1570512697466963550,6534,1570512697415473000,/map,-18022.8808594,-93635.4375,39.8011703491,-0.0065117641289,-0.0114157891097,-0.263994443816,0.964434658399
1570512697585674409,6535,1570512697516094000,/map,-18022.3574219,-93635.765625,39.8085212708,-0.00708861696617,-0.0106291907217,-0.264685517467,0.964250148383
1570512697677249083,6536,1570512697615996000,/map,-18021.8457031,-93636.078125,39.8271942139,-0.00719609458363,-0.0105995813555,-0.265519485096,0.964020367073
1570512697779752419,6537,1570512697716117000,/map,-18021.2988281,-93636.34375,39.8405456543,-0.0066735308611,-0.010894456736,-0.266283922634,0.963809964332
1570512697901105383,6538,1570512697816360000,/map,-18020.84375,-93636.65625,39.8471603394,-0.00843149747918,-0.00997336803578,-0.266926652833,0.963628353561
1570512698027035271,6539,1570512697916610000,/map,-18020.2441406,-93637.03125,39.8615341187,-0.00991061719435,-0.00918684672382,-0.267604173773,0.963434163653
1570512698084355504,6540,1570512698016751000,/map,-18019.6152344,-93637.3515625,39.9157066345,-0.00842011034632,-0.00976496318523,-0.268552416005,0.963178772136
1570512698258141729,6541,1570512698117103000,/map,-18019.21875,-93637.6015625,39.9287071228,-0.00802835672172,-0.0101834616979,-0.269662579444,0.962867558828
1570512698362564427,6542,1570512698217250000,/map,-18018.5703125,-93638.03125,39.9228897095,-0.00989388976662,-0.0103835374145,-0.270853950532,0.962513600204
1570512698419404863,6543,1570512698317398000,/map,-18018.0898438,-93638.296875,39.9388275146,-0.00850078303173,-0.0102181307175,-0.272740650752,0.961995771259
1570512698487879748,6544,1570512698417744000,/map,-18017.6425781,-93638.578125,39.9530334473,-0.006776577416,-0.00985122719391,-0.274303182425,0.961568923912
1570512698570887933,6545,1570512698517911000,/map,-18017.1875,-93638.84375,39.9752044678,-0.0065297677623,-0.00932845413113,-0.276016552966,0.96108543042
1570512698721209160,6546,1570512698619714000,/map,-18016.6425781,-93639.1953125,39.9922523499,-0.00642913099019,-0.00904330354052,-0.277944439711,0.960533067296
1570512698783842074,6547,1570512698718386000,/map,-18016.1230469,-93639.515625,40.0220527649,-0.00534257435637,-0.00943341431861,-0.279574743873,0.960062722004
1570512698877231789,6548,1570512698818535000,/map,-18015.59375,-93639.828125,40.0146331787,-0.00457358875596,-0.00957867839151,-0.281367936984,0.959541252497
1570512698974064932,6549,1570512698918894000,/map,-18015.0566406,-93640.15625,40.0130882263,-0.00514839405172,-0.00920710147277,-0.283187435207,0.959006569248
1570512699080499513,6550,1570512699019028000,/map,-18014.5449219,-93640.4609375,40.0409698486,-0.00360638009592,-0.00939481982417,-0.284797099036,0.958534998716
1570512699215633500,6551,1570512699119175000,/map,-18014.2441406,-93640.6796875,40.0444030762,-0.00227585993985,-0.00895422095602,-0.285533106676,0.958324312214
1570512699315453376,6552,1570512699219522000,/map,-18013.8515625,-93640.9296875,40.0686073303,-0.00214013859212,-0.00801889622348,-0.286368582463,0.958083583039
1570512699439209451,6553,1570512699319683000,/map,-18013.3261719,-93641.2890625,40.0821418762,-0.00228521920578,-0.00866233105843,-0.287195801223,0.957830002429
1570512699496312306,6554,1570512699428733000,/map,-18012.7519531,-93641.671875,40.1067276001,-0.00200756123974,-0.00931855145191,-0.288184887964,0.95752733885
1570512699653827265,6555,1570512699520162000,/map,-18012.3710938,-93641.875,40.1307182312,0.00056311915324,-0.0107332897394,-0.289349606495,0.957163144197
1570512699725480985,6556,1570512699620328000,/map,-18011.8574219,-93642.203125,40.1302947998,-0.00117545125963,-0.0117533008771,-0.290323095132,0.956855777359
1570512699779977075,6557,1570512699720662000,/map,-18011.3613281,-93642.5390625,40.1295623779,-0.00185874226371,-0.0127210120448,-0.291520471766,0.956478193934
