%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570518488899617320,77986,1570518488899426937,map,-22857.5456201,-93112.6730737,29.483,0.0,0.0,-0.710582994601,0.703613393693
1570518488943983374,77987,1570518488943182945,map,-22857.5544026,-93113.3740403,29.479,0.0,0.0,-0.711522367052,0.702663448021
1570518488987551665,77988,1570518488987199068,map,-22857.5652646,-93114.0807701,29.47,0.0,0.0,-0.712519325421,0.701652485852
1570518489031354325,77989,1570518489031138896,map,-22857.5739915,-93114.8138891,29.542,0.0,0.0,-0.711302679641,0.702885835635
1570518489119039489,77990,1570518489118828058,map,-22857.5781509,-93115.5179734,29.522,0.0,0.0,-0.709192289342,0.705015103908
1570518489153972741,77991,1570518489153098106,map,-22857.572126,-93116.2296084,29.532,0.0,0.0,-0.704107229284,0.710093662604
1570518489198122156,77992,1570518489197818994,map,-22857.5629931,-93116.9431187,29.543,0.0,0.0,-0.702567140701,0.71161746241
1570518489242600015,77993,1570518489241750001,map,-22857.5571765,-93117.6349885,29.353,0.0,0.0,-0.70412823217,0.710072836166
1570518489285857736,77994,1570518489284955978,map,-22857.5464819,-93118.3553806,29.365,0.0,0.0,-0.70183906121,0.712335547449
1570518489329608497,77995,1570518489329411029,map,-22857.5334309,-93119.0746138,29.366,0.0,0.0,-0.700663017941,0.713492351249
1570518489373423836,77996,1570518489372780084,map,-22857.5215218,-93119.7950644,29.357,0.0,0.0,-0.701238956672,0.712926311512
1570518489459496068,77997,1570518489459228992,map,-22857.5925342,-93120.5532266,29.145,0.0,0.0,-0.739342846327,0.673329158425
1570518489505599760,77998,1570518489505048036,map,-22857.5736837,-93121.2726963,29.15,0.0,0.0,-0.697785226874,0.716307041119
1570518489548886621,77999,1570518489548669099,map,-22857.5538963,-93121.9939618,29.15,0.0,0.0,-0.69734356917,0.716737013511
1570518489593652073,78000,1570518489592951059,map,-22857.5298281,-93122.7155893,29.16,0.0,0.0,-0.695221497923,0.718795568174
1570518489637655232,78001,1570518489636785030,map,-22857.537775,-93123.5849365,29.766,0.0,0.0,-0.710331202774,0.70386758866
1570518489680317990,78002,1570518489680105924,map,-22857.5107946,-93124.3077547,29.761,0.0,0.0,-0.693793633363,0.720173863942
1570518489725858714,78003,1570518489725457906,map,-22857.4788574,-93125.0338949,29.777,0.0,0.0,-0.691397297075,0.722474759142
1570518489768919499,78004,1570518489768543004,map,-22857.4438635,-93125.7640919,29.788,0.0,0.0,-0.68997496452,0.723833232406
1570518489856611303,78005,1570518489856362104,map,-22857.3096,-93126.8679413,32.72,0.0,0.0,-0.663045197974,0.748579364826
1570518489902636430,78006,1570518489900510072,map,-22857.2704057,-93127.6003121,32.73,0.0,0.0,-0.687953251083,0.725755002962
1570518489945404369,78007,1570518489944492101,map,-22857.2305574,-93128.3322778,32.727,0.0,0.0,-0.687619215315,0.726071494227
1570518489988418843,78008,1570518489988152980,map,-22857.1836236,-93129.0663506,32.74,0.0,0.0,-0.68417622149,0.729316733627
1570518490031799060,78009,1570518490031487941,map,-22857.3624649,-93129.5094301,30.157,0.0,0.0,-0.828942908745,0.559333222723
1570518490119991050,78010,1570518490119155883,map,-22857.3207286,-93130.2392928,30.137,0.0,0.0,-0.686625587624,0.727011212032
1570518490119998462,78011,1570518490119517087,map,-22857.2800206,-93130.9735533,30.125,0.0,0.0,-0.687256937929,0.726414414277
1570518490197939196,78012,1570518490197232961,map,-22857.234493,-93131.7113203,30.133,0.0,0.0,-0.684984399179,0.728557734762
1570518490242271073,78013,1570518490242021083,map,-22857.1018533,-93132.2428413,29.453,0.0,0.0,-0.61558006848,0.788074348834
1570518490289046322,78014,1570518490288271903,map,-22857.0548084,-93132.9810189,29.455,0.0,0.0,-0.68425065342,0.729246901464
1570518490329788663,78015,1570518490329590082,map,-22857.0030006,-93133.7210759,29.455,0.0,0.0,-0.681969850434,0.731380286239
